mlbam_id,mlb_played_first
570666,2016.0
596001,2017.0
593576,2014.0
657248,2021.0
445926,2008.0
608337,2016.0
665871,2022.0
680694,2022.0
456034,2008.0
676979,2020.0
687931,2025.0
543507,2014.0
669093,2022.0
593958,2015.0
592351,2015.0
592135,2014.0
605280,2018.0
456501,2008.0
489265,2008.0
656271,2019.0
641386,2021.0
642545,2018.0
650496,2021.0
808963,2025.0
689266,2023.0
596295,2018.0
669302,2021.0
669194,2022.0
663765,2020.0
666277,2023.0
668674,2023.0
683627,2024.0
680739,2022.0
607259,2014.0
612434,2015.0
452657,2006.0
571510,2015.0
543548,2011.0
673513,2024.0
621139,2020.0
650911,2021.0
657265,2022.0
658551,2019.0
605507,2021.0
656288,2019.0
661269,2021.0
665048,2023.0
605288,2015.0
668941,2020.0
493603,2010.0
677944,2023.0
607625,2016.0
829272,2025.0
641726,2020.0
681867,2021.0
547179,2015.0
471911,2009.0
680767,2023.0
665152,2020.0
681217,2022.0
621345,2017.0
641154,2018.0
657097,2019.0
641793,2018.0
663465,2018.0
670950,2018.0
669373,2020.0
543101,2014.0
592094,2018.0
642585,2022.0
675911,2021.0
547001,2021.0
607188,2017.0
621052,2016.0
579328,2019.0
572971,2012.0
434378,2005.0
660896,2019.0
656638,2021.0
607216,2018.0
678368,2024.0
686610,2022.0
681190,2023.0
664350,2020.0
676467,2025.0
660546,2019.0
702674,2024.0
657140,2018.0
676775,2023.0
664285,2018.0
805673,2024.0
676395,2023.0
457918,2007.0
605182,2016.0
671131,2023.0
663738,2021.0
543518,2015.0
519043,2011.0
660271,2018.0
676130,2022.0
687924,2024.0
489119,2011.0
672578,2020.0
621112,2017.0
689690,2023.0
693855,2025.0
641778,2018.0
641941,2017.0
669330,2021.0
693433,2023.0
640444,2020.0
682990,2023.0
593334,2017.0
690990,2025.0
686730,2023.0
676272,2023.0
502624,2014.0
678692,2022.0
656793,2020.0
684007,2024.0
641871,2017.0
607455,2017.0
694973,2024.0
671111,2023.0
664062,2019.0
622694,2018.0
502202,2012.0
663623,2023.0
605151,2015.0
671345,2021.0
608718,2016.0
573668,2016.0
660261,2023.0
669674,2021.0
643361,2022.0
622608,2017.0
676596,2020.0
605463,2019.0
683155,2023.0
656970,2019.0
679525,2023.0
669203,2018.0
622503,2020.0
606303,2019.0
663568,2024.0
571948,2017.0
689225,2022.0
518585,2022.0
680704,2021.0
544150,2016.0
500779,2012.0
642546,2019.0
694363,2023.0
661309,2022.0
641482,2018.0
501985,2010.0
688138,2025.0
666214,2022.0
608032,2016.0
670912,2020.0
656222,2018.0
669270,2019.0
687792,2024.0
681869,2023.0
676050,2021.0
518633,2011.0
676710,2021.0
593974,2016.0
686973,2022.0
656546,2016.0
669358,2021.0
624133,2018.0
607231,2016.0
642216,2023.0
701519,2025.0
641401,2020.0
688642,2025.0
605218,2015.0
656803,2018.0
664123,2021.0
605347,2015.0
669145,2020.0
656557,2020.0
687798,2023.0
592741,2014.0
670046,2022.0
503449,2012.0
592662,2014.0
594835,2014.0
660761,2019.0
657053,2018.0
592716,2016.0
640470,2019.0
669387,2023.0
670955,2021.0
660787,2022.0
669923,2022.0
607200,2017.0
453281,2008.0
523260,2012.0
621121,2015.0
674072,2022.0
656232,2020.0
527054,2011.0
806188,2025.0
683004,2024.0
663969,2024.0
664353,2019.0
694297,2023.0
542882,2015.0
605540,2017.0
676831,2020.0
544727,2012.0
676917,2022.0
656412,2022.0
676684,2021.0
663559,2021.0
641771,2016.0
501625,2013.0
663455,2022.0
671737,2023.0
502042,2012.0
682227,2023.0
682243,2023.0
623485,2020.0
607074,2015.0
670280,2019.0
656061,2020.0
671096,2023.0
640448,2020.0
668676,2019.0
628452,2015.0
671106,2023.0
592717,2014.0
680730,2024.0
542881,2016.0
682052,2023.0
641394,2021.0
660853,2018.0
696136,2023.0
663687,2023.0
630023,2018.0
571578,2012.0
641329,2021.0
670124,2022.0
506433,2012.0
650644,2019.0
448855,2015.0
663978,2019.0
666745,2023.0
519008,2013.0
621076,2020.0
571760,2014.0
543475,2011.0
592346,2015.0
664294,2021.0
687888,2023.0
605400,2015.0
678024,2025.0
676641,2022.0
502239,2009.0
453286,2008.0
425794,2005.0
693821,2022.0
691587,2023.0
679885,2023.0
542960,2011.0
800048,2025.0
491624,2010.0
570632,2015.0
663753,2021.0
571946,2012.0
605194,2016.0
685299,2024.0
687134,2024.0
657585,2019.0
592222,2014.0
671212,2023.0
689017,2024.0
657756,2021.0
593372,2013.0
669372,2024.0
